,Tile Id,Date,Serving Cell Average RSRP (All),Serving Cell Average RSRQ (All),Total MR Count,Longitude,Latitude,geometry
959,'5764608310152356609',12/6/2020,-121.43,-17.5,7,114.988404,-8.792457,POINT (114.988404 -8.792457000000001)
960,'5764608310152356855',12/6/2020,-120.44,-17.97,16,114.99286699999999,-8.787707000000001,POINT (114.992867 -8.787707000000001)
974,'5764608310152357686',12/6/2020,-122.25,-20.0,4,114.99011999999999,-8.779903,POINT (114.99012 -8.779902999999999)
975,'5764608310152357749',12/6/2020,-120.33,-19.83,3,114.989777,-8.776849,POINT (114.989777 -8.776849)
986,'5764608310152358540',12/6/2020,-121.49,-18.73,215,115.00282299999999,-8.797546,POINT (115.002823 -8.797546000000001)
995,'5764608310152359262',12/6/2020,-120.25,-19.62,4,114.994927,-8.777189,POINT (114.994927 -8.777189)
996,'5764608310152359268',12/6/2020,-122.0,-20.0,2,114.99526999999999,-8.778546,POINT (114.99527 -8.778546)
1002,'5764608310152359513',12/6/2020,-123.0,-17.5,1,115.000077,-8.782957000000001,POINT (115.000077 -8.782957000000001)
1023,'5764608310152362019',12/6/2020,-121.13,-19.38,32,114.99561299999999,-8.776171000000001,POINT (114.995613 -8.776171000000001)
1025,'5764608310152362081',12/6/2020,-120.57,-19.93,7,114.99526999999999,-8.773456,POINT (114.99527 -8.773455999999999)
1026,'5764608310152362085',12/6/2020,-123.0,-16.39,28,114.99526999999999,-8.772778,POINT (114.99527 -8.772778000000001)
1030,'5764608310152362191',12/6/2020,-120.67,-18.33,9,114.99767299999999,-8.772778,POINT (114.997673 -8.772778000000001)
1042,'5764608310152362713',12/6/2020,-124.74,-19.09,448,115.00282299999999,-8.772099,POINT (115.002823 -8.772099000000001)
1044,'5764608310152362781',12/6/2020,-121.9,-19.86,21,115.000077,-8.768706,POINT (115.000077 -8.768706)
1046,'5764608310152362819',12/6/2020,-121.82,-19.62,17,114.999733,-8.768027,POINT (114.999733 -8.768027)
1049,'5764608310152362913',12/6/2020,-123.75,-19.33,32,115.00351,-8.770742,POINT (115.00351 -8.770742)
