Tile Id,Date,Serving Cell Average RSRP (All),Serving Cell Average RSRQ (All),Total MR Count,Longitude,Latitude,geometry
'5764608310152462256',2.02E+16,-124.98,-16.76,48,115.135,-8.84572,POINT (115.135346 -8.845721000000001)
'5764608310152462258',2.02E+16,-125.59,-15.82,53,115.136,-8.84572,POINT (115.135689 -8.845721000000001)
'5764608310152462259',2.02E+16,-122.45,-14.52,33,115.136,-8.84538,POINT (115.135689 -8.845382000000001)
'5764608310152462262',2.02E+16,-122.64,-13.99,96,115.136,-8.84504,POINT (115.135689 -8.845042999999999)
'5764608310152462265',2.02E+16,-126.25,-20,4,115.136,-8.84538,POINT (115.136032 -8.845382000000001)
'5764608310152462267',2.02E+16,-120.74,-15.79,99,115.136,-8.84538,POINT (115.136376 -8.845382000000001)
'5764608310152462268',2.02E+16,-121.74,-13,27,115.136,-8.84504,POINT (115.136032 -8.845042999999999)
'5764608310152462270',2.02E+16,-120.58,-14.18,122,115.136,-8.84504,POINT (115.136376 -8.845042999999999)
'5764608310152462272',2.02E+16,-123.17,-17.83,12,115.134,-8.84436,POINT (115.133973 -8.844364000000001)
'5764608310152462297',2.02E+16,-125.86,-18.22,7,115.135,-8.84267,POINT (115.134659 -8.842668)
'5764608310152462299',2.02E+16,-123.14,-12.36,7,115.135,-8.84267,POINT (115.135002 -8.842668)
'5764608310152462301',2.02E+16,-122.57,-17.06,39,115.135,-8.84199,POINT (115.134659 -8.841989999999999)
'5764608310152462315',2.02E+16,-124.2,-12.37,15,115.136,-8.84403,POINT (115.136376 -8.844025)
'5764608310152462318',2.02E+16,-121.26,-14.51,186,115.136,-8.84369,POINT (115.136376 -8.843686)
'5764608310152462323',2.02E+16,-121.4,-15.75,30,115.136,-8.84267,POINT (115.135689 -8.842668)
'5764608310152462326',2.02E+16,-125.12,-17.39,49,115.136,-8.84233,POINT (115.135689 -8.842328999999999)
'5764608310152462327',2.02E+16,-125.67,-16.62,42,115.136,-8.84199,POINT (115.135689 -8.841989999999999)
