Tile Id,Date,Serving Cell Average RSRP (All),Serving Cell Average RSRQ (All),Total MR Count,Longitude,Latitude,geometry,cluster
'5764608310152510401',2.02E+16,-123.5,-18.5,4,115.134,-8.81146,POINT (115.134 -8.81146),5
'5764608310152510419',2.02E+16,-121.71,-19.71,14,115.134,-8.8101,POINT (115.134 -8.8101),5
'5764608310152510422',2.02E+16,-125.22,-17.87,843,115.134,-8.80976,POINT (115.134 -8.809760000000001),5
'5764608310152510423',2.02E+16,-120.17,-13.71,1178,115.134,-8.80942,POINT (115.134 -8.809419999999999),5
'5764608310152510429',2.02E+16,-124.72,-18.63,54,115.135,-8.80942,POINT (115.135 -8.809419999999999),5
'5764608310152510440',2.02E+16,-121.71,-14.57,21,115.136,-8.8118,POINT (115.136 -8.8118),5
'5764608310152510459',2.02E+16,-132,-20,1,115.136,-8.8101,POINT (115.136 -8.8101),5
'5764608310152510460',2.02E+16,-121.08,-19.11,66,115.136,-8.80976,POINT (115.136 -8.809760000000001),5
'5764608310152510461',2.02E+16,-121.75,-19.81,8,115.136,-8.80942,POINT (115.136 -8.809419999999999),5
'5764608310152510464',2.02E+16,-124,-19.58,6,115.126,-8.80908,POINT (115.126 -8.80908),5
'5764608310152510479',2.02E+16,-120.25,-20,4,115.127,-8.80806,POINT (115.127 -8.808060000000001),5
'5764608310152510491',2.02E+16,-120.33,-16.25,150,115.127,-8.80739,POINT (115.127 -8.80739),5
'5764608310152510515',2.02E+16,-128.4,-19.3,5,115.127,-8.80739,POINT (115.127 -8.80739),5
'5764608310152510516',2.02E+16,-121.07,-15.27,30,115.127,-8.80705,POINT (115.127 -8.80705),5
'5764608310152510530',2.02E+16,-121.47,-17.97,369,115.126,-8.80637,POINT (115.126 -8.806369999999999),13
'5764608310152510542',2.02E+16,-130,-20,2,115.127,-8.80569,POINT (115.127 -8.80569),5
'5764608310152510560',2.02E+16,-121,-19.75,4,115.127,-8.80637,POINT (115.127 -8.806369999999999),5
'5764608310152510574',2.02E+16,-121.2,-20,20,115.128,-8.80569,POINT (115.128 -8.80569),5
'5764608310152510587',2.02E+16,-120.83,-13.82,758,115.128,-8.80467,POINT (115.128 -8.80467),5
'5764608310152510594',2.02E+16,-126.4,-18.4,5,115.129,-8.80908,POINT (115.129 -8.80908),5
'5764608310152510599',2.02E+16,-120.62,-10,8,115.129,-8.80806,POINT (115.129 -8.808060000000001),5
'5764608310152510631',2.02E+16,-124,-16.81,51,115.13,-8.80806,POINT (115.13 -8.808060000000001),5
'5764608310152510643',2.02E+16,-121.07,-17.51,41,115.13,-8.80739,POINT (115.13 -8.80739),5
'5764608310152510656',2.02E+16,-124,-15.17,12,115.128,-8.80637,POINT (115.128 -8.806369999999999),5
'5764608310152510667',2.02E+16,-125.21,-18.49,44,115.13,-8.80603,POINT (115.13 -8.80603),5
